Employer_ID,Company_Name,Industry,Company_Size,Location
1,BritTech Solutions,Technology,500-1000,London
2,London Health Group,Healthcare,1000-5000,London
3,Northern Finance Corp,Finance,5000+,Manchester
4,Midlands Retail Ltd,Retail,200-500,Birmingham
5,SkyWave Media,Marketing,100-200,Leeds
6,GreenCore Manufacturing,Manufacturing,500-1000,Sheffield
7,BluePeak Consulting,Consulting,200-500,London
8,UrbanTech Innovations,Technology,1000-5000,Manchester
9,WellCare UK,Healthcare,500-1000,Liverpool
10,CapitalEdge Bank,Finance,5000+,London
11,ShopSmart Retail,Retail,200-500,Leeds
12,NorthStar Media,Marketing,100-200,Glasgow
13,PrimeSteel Manufacturing,Manufacturing,1000-5000,Birmingham
14,InsightPro Consulting,Consulting,50-200,Edinburgh
15,FutureWave Tech,Technology,500-1000,London
16,HealthBridge Services,Healthcare,200-500,Manchester
17,SecureBank UK,Finance,5000+,Edinburgh
18,ValueMart Retail,Retail,500-1000,Glasgow
19,BrandHive Media,Marketing,100-200,London
20,IronWorks Manufacturing,Manufacturing,200-500,Leeds
21,StrategicPath Consulting,Consulting,500-1000,Birmingham
22,TechSphere Digital,Technology,100-200,Manchester
23,MedicoPlus UK,Healthcare,1000-5000,London
24,FinTrust Group,Finance,5000+,Glasgow
25,Everyday Essentials Retail,Retail,200-500,Liverpool
26,CreativePulse Media,Marketing,50-200,Edinburgh
27,SteelForge Manufacturing,Manufacturing,500-1000,Manchester
28,AdvisoryOne Consulting,Consulting,100-200,London
29,NextGen Systems,Technology,1000-5000,Leeds
30,WellnessCare Clinics,Healthcare,200-500,Birmingham
