Job_ID,Employer_ID,Job_Title,Job_Type,Department,Location,Salary,Start_Date,End_Date
1,1,Software Developer,Full-Time,Engineering,London,52000,01-02-2023,01-02-2024
2,1,Data Analyst,Full-Time,Analytics,London,45000,15-03-2023,15-03-2024
3,1,IT Support Engineer,Full-Time,IT,London,38000,01-05-2023,01-05-2024
4,1,Cybersecurity Analyst,Full-Time,Security,London,60000,10-06-2023,10-06-2024
5,2,Healthcare Data Analyst,Full-Time,Analytics,London,42000,01-04-2023,01-04-2024
6,2,Clinical Systems Technician,Full-Time,IT,London,36000,20-05-2023,20-05-2024
7,2,Medical IT Support,Full-Time,Support,London,34000,01-07-2023,01-07-2024
8,3,Financial Analyst,Full-Time,Finance,Manchester,55000,10-03-2023,10-03-2024
9,3,Risk Analyst,Full-Time,Risk,Manchester,58000,15-04-2023,15-04-2024
10,3,Data Engineer,Full-Time,Engineering,Manchester,62000,01-06-2023,01-06-2024
11,4,Retail Operations Assistant,Full-Time,Operations,Birmingham,28000,20-02-2023,20-02-2024
12,4,Inventory Analyst,Full-Time,Logistics,Birmingham,30000,25-03-2023,25-03-2024
13,4,Store IT Technician,Full-Time,IT,Birmingham,32000,10-05-2023,10-05-2024
14,5,Marketing Coordinator,Full-Time,Marketing,Leeds,35000,01-04-2023,01-04-2024
15,5,Digital Content Creator,Full-Time,Media,Leeds,33000,01-06-2023,01-06-2024
16,5,SEO Analyst,Full-Time,Marketing,Leeds,37000,15-07-2023,15-07-2024
17,6,Manufacturing Technician,Full-Time,Production,Sheffield,31000,01-03-2023,01-03-2024
18,6,Quality Assurance Analyst,Full-Time,Quality,Sheffield,34000,10-04-2023,10-04-2024
19,6,Industrial Engineer,Full-Time,Engineering,Sheffield,45000,20-05-2023,20-05-2024
20,7,Business Analyst,Full-Time,Consulting,London,48000,15-02-2023,15-02-2024
21,7,Junior Consultant,Full-Time,Consulting,London,42000,20-03-2023,20-03-2024
22,7,IT Strategy Analyst,Full-Time,Consulting,London,50000,01-05-2023,01-05-2024
23,8,Software Tester,Full-Time,Engineering,Manchester,40000,01-04-2023,01-04-2024
24,8,Cloud Support Engineer,Full-Time,IT,Manchester,45000,15-05-2023,15-05-2024
25,8,Data Technician,Full-Time,Analytics,Manchester,38000,01-07-2023,01-07-2024
26,9,Healthcare Support Analyst,Full-Time,IT,Liverpool,35000,10-03-2023,10-03-2024
27,9,Medical Data Technician,Full-Time,Analytics,Liverpool,33000,20-04-2023,20-04-2024
28,9,Clinical Systems Analyst,Full-Time,IT,Liverpool,37000,01-06-2023,01-06-2024
29,10,Investment Analyst,Full-Time,Finance,London,60000,01-02-2023,01-02-2024
30,10,Compliance Analyst,Full-Time,Compliance,London,58000,15-03-2023,15-03-2024
31,10,Data Governance Specialist,Full-Time,Data,London,62000,01-05-2023,01-05-2024
32,11,Retail Data Analyst,Full-Time,Analytics,Leeds,32000,01-04-2023,01-04-2024
33,11,Store Operations Coordinator,Full-Time,Operations,Leeds,30000,10-05-2023,10-05-2024
34,11,Customer Insights Analyst,Full-Time,Marketing,Leeds,34000,20-06-2023,20-06-2024
35,12,Media Production Assistant,Full-Time,Media,Glasgow,28000,01-03-2023,01-03-2024
